URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://dips.no/fhir/RetinaIntegration/ValueSet/retina-body-site-vs,0.2.0,draft,,RetinaBodySiteValueSet,Retina Body Site,"Body site codes for retinal observations (right or left retina).",,"SCT"
http://dips.no/fhir/RetinaIntegration/ValueSet/retina-conclusioncode-vs,0.2.0,draft,,RetinaDiagnosticReportConclusionCodeValueSet,Retina Conclusion,"Codes describing the current or final conclusion of the examination (1000-series).",,"Internal"
http://dips.no/fhir/RetinaIntegration/ValueSet/retina-imagequality-vs,0.2.0,draft,,RetinaImageQualityValueSet,Retina Image Quality,"Image quality as assessed by AI (2000-series).",,"Internal"
http://dips.no/fhir/RetinaIntegration/ValueSet/retina-imaging-procedure-vs,0.2.0,draft,,RetinaImagingProcedureValueSet,Retina Imaging Procedures,"Valid procedure codes for Retina imaging studies. Contains two Norwegian procedure codes from no-kodeverk-7275: CKDP10 for fundus photography and CKFX16 for OCT imaging of the eye fundus using light-wave based technique.",,"Other"
http://dips.no/fhir/RetinaIntegration/ValueSet/retina-initial-instructions-vs,0.2.0,draft,,InitialInstructionsValueSet,Retina Initial Instructions,"Initial routing decisions and cautions for grading this examination (1000-series and 5000-series).",,"Internal"
